t,dt,x,y,z,dcSun,dsSun,Rsun,dcMer,dsMer,tRhMer,Rmer,dcVen,dsVen,tRhVen,Rven,dcEar,dsEar,tRhEar,Rear,dcMar,dsMar,tRhMar,Rmar,dcJup,dsJup,tRhJup,Rjup,dcSat,dsSat,tRhSat,Rsat,dcUra,dsUra,tRhUra,Rura,dcNep,dsNep,tRhNep,Rnep,a,perihel,e,Porb,KL,inc,Omg,omg,f,E,J,enc,pln
2002.002, 0.006, +0.308671, +0.473497, +0.129465,0.581134162,0.576483695,0.004650467,0.536920076,0.536903765,0.004425369,0.000016310,0.959212462,0.959172008,0.020277427,0.000040454,0.610975721,0.610933087,0.030012419,0.000042634,1.081629246,1.081606586,0.021738902,0.000022660,5.171037597,5.170570271,1.065724080,0.000467326,9.863392997,9.863003740,1.307543690,0.000389257,19.793064260,19.792894725,1.405876682,0.000169534,29.227296860,29.227132259,2.327109575,0.000164601,0.518015281,0.434844653,0.160556,  0.372583, 0.952396449,  15.2,  -0.4, 202.1, 216.1,-1.122410E-04,3.534892E-03,   ,
2102.102, 0.008, +0.102530, -0.475233, -0.127741,0.496665096,0.492014628,0.004650467,0.296214661,0.296198351,0.004425362,0.000016310,0.657607137,0.657566683,0.020277183,0.000040454,1.444454336,1.444411702,0.030012911,0.000042634,1.992526163,1.992503503,0.021739979,0.000022660,5.711972603,5.711505277,1.065943344,0.000467326,9.563424717,9.563035460,1.306568918,0.000389257,19.919956301,19.919786766,1.406191500,0.000169534,29.815943128,29.815778527,2.326872408,0.000164601,0.533466434,0.439104952,0.176884,  0.389376, 0.950260362,  15.1,  -0.9, 201.8,  80.9,-1.122410E-04,3.534892E-03,   ,
2202.202, 0.004, +0.126860, +0.526484, +0.142258,0.553946747,0.549296280,0.004650467,0.392263287,0.392246976,0.004425365,0.000016310,0.489883762,0.489843308,0.020277325,0.000040454,1.083038989,1.082996355,0.030012250,0.000042634,2.067130888,2.067108228,0.021739108,0.000022660,5.775599072,5.775131746,1.065779677,0.000467326,10.503220321,10.502831064,1.307158976,0.000389257,18.275376463,18.275206929,1.406304674,0.000169534,29.674445474,29.674280873,2.326649973,0.000164601,0.530911130,0.442715450,0.166121,  0.386582, 0.952279841,  15.1,  -1.2, 196.1, 242.0,-1.122410E-04,3.534892E-03,   ,
2302.302, 0.009, +0.307655, -0.423587, -0.110900,0.532723918,0.528073450,0.004650467,0.123209666,0.123193356,0.004425350,0.000016310,0.725217618,0.725177164,0.020277310,0.000040454,1.287541843,1.287499208,0.030012164,0.000042634,0.886746811,0.886724151,0.021739225,0.000022660,5.454556365,5.454089039,1.065391440,0.000467326,9.396491951,9.396102694,1.308855145,0.000389257,18.551264322,18.551094788,1.406090018,0.000169534,29.547336870,29.547172269,2.326780692,0.000164601,0.524771701,0.441800441,0.158109,  0.379896, 0.953640938,  15.0,  -1.9, 200.8, 106.1,-1.122410E-04,3.534892E-03,   ,
2402.402, 0.007, -0.074898, +0.501968, +0.133265,0.520034905,0.515384438,0.004650467,0.807751959,0.807735648,0.004425357,0.000016310,1.236752117,1.236711663,0.020277333,0.000040454,1.392913846,1.392871212,0.030012788,0.000042634,1.240433028,1.240410368,0.021739632,0.000022660,5.783013751,5.782546425,1.065500341,0.000467326,9.481577046,9.481187789,1.308133832,0.000389257,19.802159073,19.801989539,1.406097267,0.000169534,30.458287608,30.458123007,2.326739655,0.000164601,0.529491633,0.431752936,0.184590,  0.385033, 0.949492481,  15.0,  -2.2, 198.3, 262.1,-1.122410E-04,3.534892E-03,   ,
2502.503, 0.004, +0.466839, -0.299704, -0.075018,0.565082563,0.560432096,0.004650467,0.621145283,0.621128972,0.004425368,0.000016310,1.258453118,1.258412664,0.020277297,0.000040454,0.923110762,0.923068127,0.030012360,0.000042634,2.138217325,2.138194665,0.021738396,0.000022660,4.749234712,4.748767386,1.065453868,0.000467326,9.333441233,9.333051977,1.308144361,0.000389257,19.463288049,19.463118514,1.405894883,0.000169534,29.869111854,29.868947252,2.326784389,0.000164601,0.510971661,0.425636494,0.167006,  0.365009, 0.952021188,  15.1,  -2.6, 196.5, 132.4,-1.122410E-04,3.534892E-03,   ,
2602.603, 0.009, -0.268345, +0.385471, +0.100435,0.483513736,0.478863269,0.004650467,0.918916425,0.918900115,0.004425369,0.000016310,0.623469191,0.623428737,0.020277314,0.000040454,1.488375148,1.488332513,0.030012195,0.000042634,1.510668433,1.510645773,0.021740598,0.000022660,5.307104391,5.306637064,1.065364764,0.000467326,8.660241225,8.659851969,1.308625063,0.000389257,19.655012559,19.654843025,1.406165101,0.000169534,30.662046714,30.661882112,2.326669327,0.000164601,0.512134638,0.422743722,0.174546,  0.366256, 0.950694982,  15.1,  -2.7, 205.4, 281.2,-1.122410E-04,3.534892E-03,   ,
2702.703, 0.005, +0.571069, -0.133328, -0.028375,0.590033192,0.585382725,0.004650467,0.963834502,0.963818192,0.004425356,0.000016310,0.275845429,0.275804975,0.020277767,0.000040454,0.472820123,0.472777488,0.030012480,0.000042634,1.555957797,1.555935137,0.021738295,0.000022660,4.388366387,4.387899061,1.065543839,0.000467326,9.892786130,9.892396874,1.307466265,0.000389257,19.133084969,19.132915435,1.406192508,0.000169534,30.603385557,30.603220956,2.326641202,0.000164601,0.515227748,0.423957780,0.177145,  0.369579, 0.950271585,  15.1,  -2.8, 201.5, 147.8,-1.122410E-04,3.534892E-03,   ,
2802.803, 0.006, -0.403146, +0.190865, +0.045925,0.451441264,0.446790797,0.004650467,0.805065475,0.805049165,0.004425364,0.000016310,0.707252335,0.707211881,0.020277272,0.000040454,1.409943710,1.409901075,0.030012554,0.000042634,1.808326202,1.808303541,0.021739465,0.000022660,4.925443962,4.924976636,1.065532678,0.000467326,9.639401853,9.639012596,1.307826668,0.000389257,17.997175275,17.997005740,1.406182385,0.000169534,30.296024473,30.295859872,2.326588476,0.000164601,0.511381960,0.429383609,0.160347,  0.365449, 0.953101386,  15.1,  -2.9, 202.9, 313.9,-1.122410E-04,3.534892E-03,   ,
2902.903, 0.010, +0.605129, +0.049998, +0.021896,0.605451571,0.600801103,0.004650467,0.906182118,0.906165808,0.004425360,0.000016310,1.127613476,1.127573022,0.020277312,0.000040454,0.615958949,0.615916315,0.030012218,0.000042634,1.534111969,1.534089308,0.021739538,0.000022660,4.929614840,4.929147514,1.065458551,0.000467326,10.048399809,10.048010552,1.308270801,0.000389257,19.243064421,19.242894887,1.406185950,0.000169534,30.821760696,30.821596095,2.326659432,0.000164601,0.523135576,0.432459978,0.173331,  0.378121, 0.951361783,  15.0,  -3.0, 206.0, 162.0,-1.122410E-04,3.534892E-03,   ,
