t,dt,x,y,z,dcSun,dsSun,Rsun,dcMer,dsMer,tRhMer,Rmer,dcVen,dsVen,tRhVen,Rven,dcEar,dsEar,tRhEar,Rear,dcMar,dsMar,tRhMar,Rmar,dcJup,dsJup,tRhJup,Rjup,dcSat,dsSat,tRhSat,Rsat,dcUra,dsUra,tRhUra,Rura,dcNep,dsNep,tRhNep,Rnep,a,perihel,e,Porb,KL,inc,Omg,omg,f,E,J,enc,pln
3103.103, 0.007, -0.879497, -0.441682, +0.028861,0.985562318,0.980911850,0.004650467,1.247272004,1.247255694,0.004425357,0.000016310,1.080467121,1.080426667,0.020277663,0.000040454,1.387007468,1.386964834,0.029989761,0.000042634,0.733196958,0.733174298,0.021739567,0.000022660,4.830925861,4.830458535,1.065611546,0.000467326,9.593306206,9.592916949,1.307789403,0.000389257,20.849132517,20.848962982,1.406056606,0.000169534,30.174242642,30.174078040,2.326738021,0.000164601,0.742398262,0.137669310,0.814561,  0.639241, 0.506862348,  29.1,  29.7,  20.2, 156.4,-1.122418E-04,3.534974E-03,   ,
3203.203, 0.005, -0.571497, -0.083761, +0.118038,0.590251760,0.585601293,0.004650467,0.414023535,0.414007224,0.004425363,0.000016310,0.179626875,0.179586421,0.020277322,0.000040454,1.585745548,1.585702913,0.029989536,0.000042634,1.775151538,1.775128877,0.021739089,0.000022660,5.308160157,5.307692831,1.065514622,0.000467326,9.467669710,9.467280453,1.308397866,0.000389257,19.005253573,19.005084039,1.406018340,0.000169534,29.641648182,29.641483581,2.326807756,0.000164601,0.740604928,0.134375975,0.818559,  0.636926, 0.500847563,  29.3,  29.7,  20.2, 135.7,-1.122418E-04,3.534974E-03,   ,
3303.303, 0.004, +0.122117, -0.337724, -0.196677,0.411147371,0.406496904,0.004650467,0.683836373,0.683820062,0.004425354,0.000016310,1.064539813,1.064499359,0.020277763,0.000040454,1.335779121,1.335736487,0.029989412,0.000042634,1.614530874,1.614508214,0.021739995,0.000022660,5.342715090,5.342247764,1.065594004,0.000467326,9.531082046,9.530692789,1.307800710,0.000389257,18.536250093,18.536080558,1.406131547,0.000169534,29.808597613,29.808433012,2.326699581,0.000164601,0.730626762,0.136225629,0.813550,  0.624097, 0.508347151,  29.0,  29.5,  20.8, 240.8,-1.122418E-04,3.534974E-03,   ,
3403.403, 0.011, -0.186691, -0.763931, -0.317416,0.847591368,0.842940901,0.004650467,0.571378021,0.571361710,0.004425357,0.000016310,1.002352152,1.002311698,0.020277379,0.000040454,1.348852750,1.348810116,0.029989904,0.000042634,2.255869015,2.255846354,0.021738127,0.000022660,5.420690900,5.420223574,1.065483482,0.000467326,9.327626975,9.327237718,1.308496143,0.000389257,18.099747380,18.099577846,1.406276159,0.000169534,29.615758929,29.615594328,2.326694420,0.000164601,0.744609022,0.136197915,0.817088,  0.642098, 0.505490688,  28.7,  28.9,  21.2, 209.9,-1.122418E-04,3.534974E-03,   ,
3503.504, 0.006, -0.566101, -0.998346, -0.330529,1.197193117,1.192542650,0.004650467,0.976830095,0.976813785,0.004425366,0.000016310,0.555319922,0.555279468,0.020277669,0.000040454,0.371876638,0.371834003,0.029989375,0.000042634,1.322902434,1.322879774,0.021740636,0.000022660,4.970712093,4.970244767,1.065395341,0.000467326,9.510775771,9.510386514,1.308965688,0.000389257,19.457366403,19.457196868,1.405797294,0.000169534,30.841196345,30.841031743,2.326852068,0.000164601,0.741534774,0.134995128,0.817952,  0.638126, 0.504967697,  28.6,  28.6,  21.5, 193.7,-1.122418E-04,3.534974E-03,   ,
3603.604, 0.005, -0.741143, -1.031824, -0.303875,1.303043205,1.298392738,0.004650467,1.578992709,1.578976399,0.004425362,0.000016310,1.635771025,1.635730570,0.020277413,0.000040454,1.452832595,1.452789960,0.029990178,0.000042634,0.769948681,0.769926021,0.021738289,0.000022660,5.369171234,5.368703908,1.065425273,0.000467326,10.297251293,10.296862037,1.308563143,0.000389257,20.977062899,20.976893364,1.405878757,0.000169534,29.814540723,29.814376122,2.327032143,0.000164601,0.746640959,0.135423748,0.818623,  0.644728, 0.504907988,  28.5,  28.1,  21.6, 187.6,-1.122418E-04,3.534974E-03,   ,
3703.704, 0.010, -0.922468, -0.955358, -0.219423,1.349451237,1.344800770,0.004650467,1.015079922,1.015063612,0.004425354,0.000016310,2.041137740,2.041097285,0.020277697,0.000040454,2.302517845,2.302475211,0.029989295,0.000042634,2.446044969,2.446022308,0.021739620,0.000022660,5.350779863,5.350312537,1.065355627,0.000467326,8.412785182,8.412395925,1.308893129,0.000389257,20.308244433,20.308074899,1.405877525,0.000169534,29.473426223,29.473261622,2.327064475,0.000164601,0.741700186,0.133527462,0.819971,  0.638339, 0.504149195,  28.3,  28.1,  22.2, 178.0,-1.122418E-04,3.534974E-03,   ,
3803.804, 0.004, -0.988199, -0.821304, -0.147094,1.291617994,1.286967527,0.004650467,1.237423943,1.237407633,0.004425361,0.000016310,1.195183227,1.195142773,0.020277501,0.000040454,1.962622517,1.962579882,0.029990032,0.000042634,2.594397441,2.594374780,0.021739528,0.000022660,4.899628617,4.899161290,1.065402278,0.000467326,10.766866017,10.766476761,1.308483034,0.000389257,17.916015455,17.915845920,1.405930681,0.000169534,31.074893717,31.074729116,2.327103981,0.000164601,0.745729075,0.135456705,0.818357,  0.643547, 0.507334778,  28.0,  27.3,  22.4, 171.6,-1.122418E-04,3.534974E-03,   ,
3903.904, 0.007, -0.933220, -0.561872, -0.035931,1.091741377,1.087090910,0.004650467,1.333700188,1.333683878,0.004425355,0.000016310,0.560735883,0.560695429,0.020277664,0.000040454,0.590066935,0.590024301,0.029989119,0.000042634,1.351308778,1.351286118,0.021738446,0.000022660,5.615522174,5.615054848,1.065423367,0.000467326,8.624829615,8.624440359,1.308327760,0.000389257,17.606078802,17.605909267,1.406117083,0.000169534,29.439319638,29.439155037,2.327080432,0.000164601,0.741635788,0.131516888,0.822666,  0.638256, 0.501869104,  28.0,  27.5,  22.5, 161.5,-1.122418E-04,3.534974E-03,   ,
4004.004, 0.008, -0.733217, -0.228458, +0.063883,0.773277646,0.768627179,0.004650467,0.477984884,0.477968574,0.004425375,0.000016310,1.276271194,1.276230740,0.020277426,0.000040454,0.858053512,0.858010877,0.029990212,0.000042634,0.983751425,0.983728765,0.021740131,0.000022660,4.930496997,4.930029671,1.065417460,0.000467326,10.107728779,10.107339522,1.308576354,0.000389257,19.778014629,19.777845095,1.405651603,0.000169534,29.951905710,29.951741109,2.327219440,0.000164601,0.739248461,0.135403033,0.816837,  0.635177, 0.512225470,  27.4,  26.5,  23.2, 146.5,-1.122418E-04,3.534974E-03,   ,
